tripletId,ans1,ans2,ans3
t0660,b,a,b
t0661,a,a,b
t0662,a,a,a
t0663,b,b,a
t0664,b,b,a
t0665,a,a,b
t0666,a,a,a
t0667,a,a,b
t0668,a,a,a
t0669,a,b,a
t0670,a,a,b
t0671,a,a,a
t0672,a,a,a
t0673,b,b,a
t0674,b,b,a
t0675,a,a,b
t0676,a,b,b
t0677,a,a,a
t0678,a,a,a
t0679,b,a,b
t0680,a,a,b
t0681,a,a,a
t0682,a,a,a
t0683,b,b,b
t0684,b,b,b
t0685,a,a,a
t0686,a,a,a
t0687,a,a,a
t0688,a,a,a
t0689,a,a,b
t0690,a,a,a
t0691,a,a,b
t0692,a,a,b
t0693,a,b,a
t0694,b,b,a
t0695,a,a,b
t0696,a,a,b
t0697,b,b,b
t0698,a,a,a
t0699,a,b,b
t0700,b,a,a
t0701,a,a,b
t0702,a,b,b
t0703,b,b,b
t0704,a,a,b
t0705,a,a,a
t0706,b,a,a
t0707,b,b,b
t0708,a,a,b
t0709,a,b,a
t0710,a,a,a
t0711,a,a,b
t0712,a,a,b
t0713,b,b,a
t0714,a,b,b
t0715,a,a,a
t0716,a,a,b
t0717,b,b,a
t0718,a,a,a
t0719,b,b,b
t0720,a,a,a
t0721,a,a,a
t0722,b,b,a
t0723,b,b,b
t0724,b,b,b
t0725,a,a,a
t0726,b,a,a
t0727,b,b,a
t0728,a,a,a
t0729,a,b,b
t0730,b,b,a
t0731,a,a,b
t0732,a,a,b
t0733,b,b,b
t0734,b,b,a
t0735,a,a,b
t0736,a,a,b
t0737,b,a,b
t0738,a,a,a
t0739,a,b,a
t0740,a,a,a
t0741,a,a,a
t0742,a,a,a
t0743,a,b,a
t0744,b,b,a
t0745,a,a,b
t0746,b,b,a
t0747,a,b,b
t0748,a,a,a
t0749,a,b,a
t0750,a,a,b
t0751,a,a,a
t0752,a,a,b
t0753,b,b,a
t0754,b,b,a
t0755,a,a,b
t0756,b,a,b
t0757,a,a,a
t0758,a,a,a
t0759,a,a,b
t0760,a,a,b
t0761,a,a,a
t0762,a,a,a
t0763,b,b,a
t0764,b,b,b
t0765,a,a,a
t0766,b,a,a
t0767,a,a,b
t0768,a,a,b
t0769,a,a,b
t0770,b,a,a
t0771,a,a,a
t0772,a,a,b
t0773,b,b,a
t0774,b,b,b
t0775,a,a,a
t0776,a,a,b
t0777,b,b,a
t0778,a,a,a
t0779,a,b,b
t0780,a,a,b
t0781,a,a,b
t0782,a,a,b
t0783,b,b,b
t0784,b,b,b
t0785,a,a,a
t0786,b,a,a
t0787,a,a,b
t0788,a,a,b
t0789,b,a,b
t0790,a,a,a
t0791,b,a,b
t0792,a,a,b
t0793,b,b,a
t0794,b,b,a
t0795,a,a,a
t0796,a,a,b
t0797,b,a,a
t0798,a,a,b
t0799,b,a,b
t0800,a,b,b
t0801,b,b,b
t0802,b,b,a
t0803,a,a,b
t0804,a,a,b
t0805,a,a,a
t0806,b,b,a
t0807,b,b,a
t0808,a,a,a
t0809,b,b,a
t0810,b,a,b
t0811,b,b,b
t0812,b,a,b
t0813,a,b,a
t0814,b,b,a
t0815,a,b,b
t0816,b,b,b
t0817,b,b,b
t0818,a,a,a
t0819,a,b,b
t0820,a,b,b
t0821,b,b,b
t0822,b,b,a
t0823,a,a,a
t0824,a,b,a
t0825,a,b,a
t0826,b,a,a
t0827,b,a,a
t0828,b,a,a
t0829,b,a,a
t0830,a,a,b
t0831,b,b,a
t0832,b,b,a
t0833,a,a,a
t0834,a,a,a
t0835,a,a,b
t0836,b,b,b
t0837,b,b,a
t0838,a,a,a
t0839,b,b,b
t0840,a,a,b
t0841,b,a,a
t0842,b,b,a
t0843,a,b,b
t0844,a,a,b
t0845,b,b,a
t0846,b,b,b
t0847,b,b,b
t0848,a,a,b
t0849,b,b,a
t0850,a,a,a
t0851,a,b,a
t0852,b,b,b
t0853,a,a,a
t0854,a,a,b
t0855,a,a,b
t0856,a,b,a
t0857,b,a,b
t0858,a,a,a
t0859,b,b,b
t0860,a,a,a
t0861,b,b,a
t0862,b,b,b
t0863,a,a,b
t0864,a,b,a
t0865,b,b,b
t0866,b,b,a
t0867,b,b,a
t0868,b,a,b
t0869,b,b,a
t0870,b,a,a
t0871,b,b,b
t0872,b,a,b
t0873,a,a,a
t0874,a,b,a
t0875,b,a,b
t0876,a,b,b
t0877,b,a,a
t0878,a,a,b
t0879,b,b,b
t0880,a,a,b
t0881,b,b,a
t0882,b,b,a
t0883,a,a,a
t0884,a,a,a
t0885,a,b,a
t0886,b,b,a
t0887,a,a,a
t0888,a,a,a
t0889,b,b,b
t0890,a,a,a
t0891,b,b,b
t0892,b,a,b
t0893,a,a,b
t0894,a,b,a
t0895,b,a,b
t0896,b,a,b
t0897,b,b,b
t0898,a,a,a
t0899,b,b,a
t0900,b,b,a
t0901,b,b,a
t0902,a,b,a
t0903,a,a,a
t0904,b,b,a
t0905,b,a,a
t0906,b,b,a
t0907,b,b,a
t0908,a,a,a
t0909,b,b,a
t0910,a,b,b
t0911,b,b,a
t0912,b,b,b
t0913,a,b,a
t0914,a,a,b
t0915,b,b,b
t0916,b,b,b
t0917,b,a,a
t0918,a,b,a
t0919,b,a,b
t0920,a,b,b
t0921,b,a,a
t0922,b,b,a
t0923,a,a,a
t0924,a,b,b
t0925,a,b,a
t0926,b,a,a
t0927,a,b,b
t0928,a,a,b
t0929,b,b,b
t0930,a,a,a
t0931,b,b,b
t0932,b,b,b
t0933,a,a,b
t0934,a,b,b
t0935,a,a,b
t0936,b,a,b
t0937,b,a,b
t0938,a,b,a
t0939,b,b,b
t0940,a,b,a
t0941,b,b,b
t0942,b,a,b
t0943,a,a,a
t0944,a,a,b
t0945,b,a,a
t0946,b,b,a
t0947,a,b,a
t0948,b,a,b
t0949,b,a,a
t0950,a,a,a
t0951,b,b,b
t0952,b,b,b
t0953,a,a,a
t0954,a,b,a
t0955,b,b,a
t0956,b,a,b
t0957,b,b,a
t0958,a,b,b
t0959,b,b,b
t0960,a,a,a
t0961,b,b,a
t0962,b,b,a
t0963,a,a,a
t0964,a,b,b
t0965,b,b,a
t0966,a,b,a
t0967,b,b,a
t0968,b,b,a
t0969,a,a,a
t0970,a,a,a
t0971,a,b,b
t0972,b,b,b
t0973,a,b,a
t0974,a,b,a
t0975,a,b,b
t0976,b,b,b
t0977,a,b,b
t0978,a,a,a
t0979,a,b,b
t0980,a,a,a
t0981,b,b,a
t0982,b,b,a
t0983,a,a,a
t0984,a,b,a
t0985,a,b,a
t0986,a,b,a
t0987,a,a,a
t0988,a,a,a
t0989,b,b,a
t0990,b,a,b
t0991,b,b,a
t0992,b,a,a
t0993,a,a,a
t0994,a,b,b
t0995,a,b,b
t0996,a,b,b
t0997,b,a,a
t0998,a,b,a
t0999,b,b,b
t1000,a,a,b
t1001,b,a,a
t1002,b,a,a
t1003,a,b,b
t1004,a,a,b
t1005,a,a,a
t1006,a,b,a
t1007,b,a,b
t1008,a,b,b
t1009,b,a,b
t1010,a,a,a
t1011,b,a,b
t1012,b,a,b
t1013,a,b,a
t1014,a,a,a
t1015,b,b,a
t1016,a,b,b
t1017,b,a,a
t1018,a,b,a
t1019,b,b,b
t1020,a,a,b
t1021,b,b,a
t1022,b,a,b
t1023,a,b,b
t1024,a,b,b
t1025,b,b,a
t1026,b,b,a
t1027,b,b,a
t1028,a,a,b
t1029,b,b,a
t1030,a,a,a
t1031,b,b,b
t1032,b,b,b
t1033,a,b,a
t1034,a,b,a
t1035,b,a,b
t1036,a,b,b
t1037,b,a,a
t1038,a,a,a
t1039,b,b,b
t1040,a,a,a
t1041,b,b,b
t1042,b,a,a
t1043,a,a,b
t1044,b,b,b
t1045,a,a,a
t1046,b,b,a
t1047,b,a,a
t1048,a,b,a
t1049,b,a,a
t1050,a,b,a
t1051,b,a,b
t1052,b,b,b
t1053,a,a,a
t1054,a,b,a
t1055,a,a,b
t1056,b,b,b
t1057,b,a,b
t1058,a,b,a
t1059,b,b,a
t1060,a,a,b
t1061,b,b,a
t1062,b,b,a
t1063,a,b,a
t1064,a,b,a
t1065,b,a,a
t1066,b,b,a
t1067,b,b,b
t1068,a,b,b
t1069,b,b,a
t1070,a,a,b
t1071,b,a,a
t1072,b,b,a
t1073,a,b,a
t1074,a,b,a
t1075,b,b,b
t1076,b,b,b
t1077,b,b,a
t1078,a,b,a
t1079,a,b,b
t1080,a,a,b
t1081,b,b,a
t1082,b,b,a
t1083,a,a,b
t1084,a,b,b
t1085,a,a,a
t1086,b,a,a
t1087,b,b,b
t1088,a,a,b
t1089,b,b,b
t1090,a,a,a
t1091,b,b,a
t1092,b,a,b
t1093,a,b,a
t1094,a,b,b
t1095,a,b,b
t1096,b,b,a
t1097,b,a,a
t1098,a,b,a
t1099,b,b,b
t1100,a,b,b
t1101,b,b,b
t1102,b,b,b
t1103,a,a,b
t1104,a,b,a
t1105,a,b,a
t1106,b,a,a
t1107,b,b,a
t1108,a,b,b
t1109,b,b,a
t1110,b,b,a
t1111,b,b,b
t1112,b,b,b
t1113,a,b,a
t1114,a,a,b
t1115,b,b,a
t1116,b,b,b
t1117,b,b,a
t1118,b,b,b
t1119,a,b,b
t1120,a,a,a
t1121,b,b,a
t1122,b,b,a
t1123,a,a,b
t1124,a,b,b
t1125,b,a,a
t1126,b,b,a
t1127,b,a,b
t1128,a,a,a
t1129,b,b,b
t1130,a,a,a
t1131,b,b,b
t1132,b,a,b
t1133,a,b,b
t1134,a,a,a
t1135,b,b,b
t1136,b,b,b
t1137,b,b,b
t1138,a,a,a
t1139,b,b,a
t1140,a,a,b
t1141,a,b,a
t1142,b,b,a
t1143,a,a,a
t1144,a,b,a
t1145,a,a,a
t1146,b,b,a
t1147,a,b,b
t1148,a,b,a
t1149,b,a,a
t1150,a,a,b
t1151,b,b,b
t1152,b,b,b
t1153,a,a,b
t1154,a,b,a
t1155,a,a,b
t1156,b,b,b
t1157,b,a,a
t1158,b,a,a
t1159,a,b,b
t1160,a,a,b
t1161,b,b,a
t1162,b,a,a
t1163,a,b,b
t1164,a,b,b
t1165,a,a,a
t1166,a,a,a
t1167,b,b,b
t1168,a,a,b
t1169,b,a,b
t1170,a,b,a
t1171,b,b,b
t1172,b,b,b
t1173,a,b,a
t1174,a,b,b
t1175,b,a,a
t1176,b,a,b
t1177,b,a,b
t1178,a,b,a
t1179,b,b,b
t1180,a,a,a
t1181,b,b,b
t1182,b,b,b
t1183,a,b,b
t1184,b,b,a
t1185,a,a,a
t1186,b,b,a
t1187,b,b,a
t1188,a,a,b
t1189,b,b,a
t1190,a,b,a
t1191,b,b,a
t1192,a,b,b
t1193,a,a,a
t1194,a,b,b
t1195,b,b,b
t1196,a,b,b
t1197,b,b,a
t1198,a,b,b
t1199,b,a,b
t1200,a,b,b
t1201,a,b,a
t1202,a,b,a
t1203,a,a,b
t1204,a,b,b
t1205,b,a,a
t1206,a,b,a
t1207,b,b,b
t1208,a,a,a
t1209,b,b,a
t1210,b,b,a
t1211,b,b,b
t1212,b,b,b
t1213,a,a,a
t1214,a,b,a
t1215,b,a,b
t1216,a,a,b
t1217,b,b,b
t1218,a,b,a
t1219,b,b,a
t1220,a,b,a
t1221,b,b,a
t1222,a,b,a
t1223,b,a,a
t1224,b,b,a
t1225,a,b,a
t1226,b,a,a
t1227,b,a,b
t1228,b,b,a
t1229,b,b,a
t1230,b,a,b
t1231,a,b,a
t1232,b,b,b
t1233,a,a,a
t1234,a,a,b
t1235,a,b,b
t1236,b,b,b
t1237,a,b,a
t1238,b,a,a
t1239,b,b,b
t1240,b,b,b
t1241,b,b,a
t1242,b,a,a
t1243,a,a,a
t1244,a,b,b
t1245,b,a,a
t1246,b,b,b
t1247,b,b,a
t1248,a,a,b
t1249,b,b,b
t1250,b,b,a
t1251,a,a,b
t1252,b,b,b
t1253,a,b,a
t1254,b,a,b
t1255,a,b,a
t1256,b,b,a
t1257,b,b,b
t1258,b,b,a
t1259,b,b,b
t1260,a,b,b
t1261,a,b,b
t1262,a,b,b
t1263,a,b,a
t1264,a,b,b
t1265,b,b,b
t1266,a,b,a
t1267,b,a,a
t1268,a,b,b
t1269,b,b,b
t1270,b,b,b
t1271,b,b,a
t1272,b,b,b
t1273,a,a,a
t1274,b,b,b
t1275,b,a,b
t1276,b,b,b
t1277,b,a,b
t1278,a,b,b
t1279,b,b,b
t1280,b,a,a
t1281,b,b,a
t1282,a,b,a
t1283,a,a,b
t1284,b,a,b
t1285,b,b,a
t1286,b,a,a
t1287,a,a,b
t1288,b,a,a
t1289,b,a,a
t1290,a,b,a
t1291,b,b,b
t1292,a,b,a
t1293,a,b,b
t1294,a,b,a
t1295,b,b,b
t1296,b,b,b
t1297,b,b,b
t1298,b,b,a
t1299,b,b,a
t1300,a,b,a
t1301,b,b,a
t1302,b,b,a
t1303,a,a,b
t1304,b,b,a
t1305,b,a,a
t1306,b,b,a
t1307,b,b,a
t1308,b,b,a
t1309,b,b,a
t1310,b,b,b
t1311,a,b,a
t1312,b,a,a
t1313,a,b,b
t1314,b,a,a
t1315,a,b,b
t1316,b,b,b
t1317,b,b,a
t1318,a,b,a
t1319,b,a,b
t1320,a,b,b
t1321,a,b,a
t1322,a,a,a
t1323,a,a,b
t1324,a,b,b
t1325,b,b,a
t1326,a,a,a
t1327,a,b,a
t1328,a,b,b
t1329,b,b,b
t1330,a,b,a
t1331,b,b,b
t1332,b,b,b
t1333,a,a,a
t1334,a,b,b
t1335,a,a,b
t1336,b,b,a
t1337,a,b,b
t1338,a,a,a
t1339,b,b,b
t1340,b,b,b
t1341,b,a,b
t1342,a,a,a
t1343,a,b,a
t1344,b,b,b
t1345,a,b,b
t1346,b,b,a
t1347,b,a,a
t1348,b,b,b
t1349,b,b,b
t1350,a,b,a
t1351,b,b,a
t1352,b,a,b
t1353,a,b,a
t1354,b,b,b
t1355,b,b,b
t1356,b,b,b
t1357,b,a,a
t1358,a,b,b
t1359,b,a,b
t1360,b,a,a
t1361,b,b,a
t1362,b,b,a
t1363,a,a,b
t1364,b,a,b
t1365,b,b,a
t1366,b,b,b
t1367,b,a,a
t1368,a,b,a
t1369,b,b,a
t1370,b,b,a
t1371,b,b,b
t1372,b,b,a
t1373,b,a,b
t1374,b,b,a
t1375,b,b,b
t1376,b,b,b
t1377,b,a,a
t1378,b,a,a
t1379,b,b,a
t1380,a,b,b
t1381,b,a,a
t1382,b,b,a
t1383,a,a,a
t1384,b,b,a
t1385,b,a,a
t1386,b,b,a
t1387,b,b,b
t1388,a,a,a
t1389,b,b,a
t1390,b,a,b
t1391,b,b,a
t1392,b,a,b
t1393,a,b,a
t1394,a,b,a
t1395,b,a,b
